-68.000000	0	3	[0 1 1 0 1 0 0 1 0 1 0 1 1 0 1 0 0 1]
-68.000000	0	13	[1 0 0 1 0 1 1 0 1 0 1 0 0 1 0 1 1 0]
-64.000000	0	10	[0 0 1 0 0 1 0 1 1 0 1 0 1 0 0 1 0 0]
-64.000000	0	5	[0 1 1 0 0 1 0 1 1 0 1 0 1 0 0 1 0 0]
-64.000000	0	5	[0 0 1 0 0 1 0 1 1 0 1 0 1 0 0 1 0 1]
-64.000000	0	8	[0 0 1 0 0 1 0 1 1 0 1 0 0 1 0 1 1 0]
-64.000000	0	24	[1 0 0 1 0 1 0 1 1 0 1 0 1 0 0 1 0 0]
-64.000000	0	4	[0 1 1 0 1 0 0 1 0 1 1 0 1 0 0 1 0 0]
-64.000000	0	5	[0 0 1 0 0 1 0 1 0 1 1 0 1 0 0 1 0 0]
-64.000000	0	6	[0 1 1 0 1 0 0 1 0 1 0 1 1 0 1 0 0 0]
-64.000000	0	7	[0 0 1 0 1 0 0 1 0 1 0 1 1 0 1 0 0 1]
-64.000000	0	15	[1 0 0 1 0 1 0 0 1 0 1 0 0 1 0 1 1 0]
-64.000000	0	3	[0 0 1 0 0 1 0 1 0 1 1 0 1 0 1 0 0 1]
-64.000000	0	6	[0 1 1 0 1 0 0 0 0 1 0 1 1 0 1 0 0 1]
-64.000000	0	5	[0 0 1 0 0 1 0 1 0 1 1 0 1 0 0 1 1 0]
-64.000000	0	2	[1 0 1 0 0 1 0 1 0 1 1 0 1 0 0 1 0 0]
-64.000000	0	8	[0 1 1 0 1 0 0 1 0 1 0 0 1 0 1 0 0 1]
-64.000000	0	9	[0 0 0 1 0 1 1 0 1 0 1 0 0 1 0 1 1 0]
-64.000000	0	8	[1 0 0 1 0 1 1 0 1 0 0 0 0 1 0 1 1 0]
-64.000000	0	13	[0 0 0 1 1 0 1 0 0 1 0 1 1 0 1 0 0 1]
-64.000000	0	13	[1 0 0 1 0 1 1 0 1 0 1 0 0 1 0 1 0 0]
-64.000000	0	8	[0 0 0 1 1 0 1 0 1 0 0 1 0 1 1 0 0 1]
-64.000000	0	8	[0 0 0 1 1 0 1 0 1 0 0 1 0 1 0 1 1 0]
-64.000000	0	4	[0 1 0 1 1 0 1 0 1 0 0 1 0 1 1 0 0 0]
